frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
221,-89.0,1494.0,1405.0,1536.0,1527.0,1513.0,5.0,0.0,1.6576366166999381,0,3,3,0,178.5,3.0,22.0,0.5,4.0,48;46;40;41 | 48;47;45;42,7;6;4;4 | 7;6;5;5
222,-82.0,1485.5,1403.5,1536.0,1527.5,1513.5,5.0,0.0,1.5671321685071546,0,3,3,0,175.5,3.0,22.0,0.0,4.0,49;46;39;39 | 49;45;44;40,7;6;4;4 | 7;6;6;4
223,-85.5,1484.5,1399.0,1536.0,1528.0,1514.0,5.0,0.0,1.5230313163152662,0,3,3,0,173.5,2.0,22.0,0.0,4.0,47;44;43;39 | 46;45;44;39,6;5;5;4 | 7;6;6;5
224,-135.5,1527.5,1392.0,1536.0,1528.0,1514.0,5.0,0.0,1.3035790535597012,0,3,3,0,172.5,1.0,21.0,1.0,4.0,47;47;38;39 | 46;46;42;40,6;6;3;3 | 7;7;5;5
225,-22.0,1430.5,1408.5,1536.0,1527.0,1504.0,5.0,0.0,1.2248722170729227,0,3,3,0,174.0,1.5,20.5,0.5,4.0,49;44;44;42 | 48;44;40;37,7;5;5;4 | 7;6;4;3
226,-10.0,1421.5,1411.5,1536.0,1527.0,1508.5,5.0,0.0,1.297422936514918,0,3,3,0,173.5,0.5,19.5,1.0,4.0,45;42;46;47 | 45;41;41;40,6;4;5;6 | 6;4;4;4
227,-168.5,1515.5,1347.0,1536.0,1528.0,1473.5,5.0,0.0,1.2139818082751992,0,3,3,0,202.5,29.0,21.0,1.5,4.0,51;51;50;50 | 53;52;49;49,6;5;5;5 | 7;6;4;4
228,-84.5,1499.0,1414.5,1536.0,1528.0,1514.0,5.0,0.0,1.1008595818626308,0,3,3,0,197.5,5.0,19.5,1.5,4.0,55;48;48;45 | 55;49;48;47,7;4;4;3 | 7;5;5;4
229,0.0,1368.5,1368.5,1536.0,1527.5,1513.5,5.0,0.0,1.6135968994686276,0,3,3,0,189.5,8.0,18.0,1.5,4.0,50;49;43;45 | 51;50;46;45,6;5;3;4 | 6;5;4;3
230,-25.5,1421.0,1395.5,1536.0,1528.0,1514.0,5.0,0.0,1.5883008995342955,0,3,3,0,187.0,2.5,17.0,1.0,4.0,48;50;44;45 | 48;46;45;48,6;5;3;3 | 6;4;3;4
231,11.5,1403.5,1415.0,1536.0,1527.5,1513.5,5.0,0.0,1.4320078534443947,0,3,3,0,189.5,2.5,18.5,1.5,4.0,51;47;47;46 | 48;48;45;47,6;4;4;4 | 6;5;4;4
232,37.5,1360.5,1398.0,1536.0,1527.0,1513.0,5.0,0.0,1.3151298926111687,0,3,3,0,190.0,0.5,19.5,1.0,4.0,49;46;46;49 | 48;49;45;48,6;4;4;5 | 6;5;4;5
233,-3.5,1399.0,1395.5,1536.0,1527.0,1508.5,5.0,0.0,1.4180523177909419,0,3,3,0,185.5,4.5,18.5,1.0,4.0,45;47;44;48 | 45;47;46;49,6;4;3;5 | 6;4;4;5
234,26.5,1380.5,1407.0,1536.0,1527.5,1513.5,5.0,0.0,1.5037879943847656,0,3,3,0,185.0,0.5,18.5,0.0,4.0,48;47;43;48 | 46;47;45;46,6;4;3;5 | 6;5;4;4
235,91.5,1278.5,1370.0,1536.0,1527.0,1513.0,5.0,0.0,1.6388888359069824,0,3,3,0,186.5,1.5,21.0,2.5,4.0,49;47;42;49 | 44;49;46;47,7;5;4;6 | 6;5;4;5
236,79.5,1310.0,1389.5,1536.0,1527.5,1513.5,5.0,0.0,1.5496564424616313,0,3,3,0,185.0,1.5,20.0,1.0,4.0,46;48;43;48 | 45;47;47;46,6;5;4;5 | 6;5;5;4
237,-3.5,1360.0,1356.5,1536.0,1527.5,1513.5,5.0,0.0,1.5933917412639365,0,3,3,0,184.5,0.5,18.5,1.5,4.0,47;47;43;47 | 46;47;46;46,6;5;3;5 | 6;4;4;4
238,52.0,1327.0,1379.0,1536.0,1528.0,1514.0,5.0,0.0,1.4267675081888835,0,3,3,0,189.0,4.5,20.0,1.5,4.0,49;49;43;47 | 47;50;47;46,6;5;3;5 | 6;6;5;4
239,138.0,1267.0,1405.0,1536.0,1528.0,1514.0,5.0,0.0,1.183524449256399,0,3,3,0,184.5,4.5,21.0,1.0,4.0,46;47;44;45 | 46;48;46;47,7;5;4;4 | 7;5;5;5
240,49.5,1345.5,1395.0,1536.0,1527.5,1513.5,5.0,0.0,1.4621213277180989,0,3,3,0,184.0,0.5,20.0,1.0,4.0,45;49;44;40 | 46;49;48;47,6;5;4;3 | 6;6;5;5
241,90.0,1313.0,1403.0,1536.0,1527.5,1513.5,5.0,0.0,1.252329797814221,0,3,3,0,183.5,0.5,21.0,1.0,4.0,45;49;41;40 | 49;50;47;46,7;6;4;4 | 6;6;5;4
242,109.0,1299.0,1408.0,1536.0,1527.0,1513.0,5.0,0.0,1.661654165583774,0,3,3,0,185.5,2.0,21.5,0.5,4.0,48;49;44;42 | 45;49;47;47,7;6;4;4 | 6;6;5;5
243,65.5,1343.5,1409.0,1536.0,1526.5,1512.5,5.0,0.0,1.4845816135341938,0,3,3,0,181.5,4.0,21.5,0.0,4.0,45;48;45;43 | 46;48;46;42,7;6;5;4 | 6;6;5;4
244,50.5,1357.5,1408.0,1536.0,1527.0,1513.0,5.0,0.0,1.7444109520125517,0,3,3,0,184.0,2.5,21.0,0.5,4.0,46;49;46;45 | 43;49;45;45,6;6;5;4 | 6;6;5;4
245,68.5,1341.0,1409.5,1536.0,1527.5,1513.5,5.0,0.0,1.0865715492816288,0,3,3,0,182.5,1.5,20.0,1.0,4.0,47;47;45;44 | 46;48;43;45,7;5;5;4 | 6;5;4;4
