frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
11,277.0,306.0,583.0,1536.0,941.0,667.0,265.0,0.0,0.7384843893230055,0,3,3,0,74.0,1.0,28.0,0.0,4.0,20;22;19;13 | 20;22;19;13,7;7;7;7 | 7;7;7;7
12,253.0,272.0,525.0,1536.0,883.0,609.0,265.0,0.0,0.7345400193783179,0,3,3,0,71.0,3.0,28.0,0.0,4.0,21;21;17;12 | 21;21;17;12,7;7;7;7 | 7;7;7;7
13,201.0,191.0,392.0,1536.0,750.0,476.0,265.0,0.0,0.8173374709532354,0,3,3,0,55.0,16.0,28.0,0.0,4.0,22;16;12;5 | 22;16;12;5,7;7;7;7 | 7;7;7;7
14,255.0,248.0,503.0,1536.0,861.0,587.0,265.0,0.0,0.8173374709532354,0,3,3,0,68.0,13.0,28.0,0.0,4.0,21;20;16;11 | 21;20;16;11,7;7;7;7 | 7;7;7;7
15,122.0,232.0,354.0,1536.0,652.0,378.0,265.0,0.0,0.6610169705218613,0,3,3,0,67.0,1.0,28.0,0.0,4.0,23;19;15;10 | 23;19;15;10,7;7;7;7 | 7;7;7;7
16,27.0,119.0,146.0,1536.0,435.0,161.0,265.0,0.0,1.0,0,3,3,0,49.0,18.0,28.0,0.0,4.0,22;13;9;5 | 22;13;9;5,7;7;7;7 | 7;7;7;7
17,230.0,211.0,441.0,1536.0,799.0,525.0,265.0,0.0,1.0,0,3,3,0,52.0,3.0,28.0,0.0,4.0,20;15;11;6 | 20;15;11;6,7;7;7;7 | 7;7;7;7
18,346.0,155.0,501.0,1536.0,859.0,585.0,265.0,0.0,1.0,0,3,3,0,24.0,28.0,14.0,14.0,2.0,23;1;0;0 | 23;1;0;0,7;7;0;0 | 7;7;0;0
19,192.0,196.0,388.0,1536.0,746.0,472.0,265.0,0.0,1.0,0,3,3,0,54.0,30.0,28.0,14.0,4.0,20;16;12;6 | 20;16;12;6,7;7;7;7 | 7;7;7;7
20,195.0,186.0,381.0,1536.0,739.0,465.0,265.0,0.0,1.0,0,3,3,0,49.0,5.0,28.0,0.0,4.0,21;15;10;3 | 21;15;10;3,7;7;7;7 | 7;7;7;7
21,251.0,258.0,509.0,1536.0,867.0,593.0,265.0,0.0,0.9875311838127572,0,3,3,0,65.0,16.0,28.0,0.0,4.0,20;19;15;11 | 20;19;15;11,7;7;7;7 | 7;7;7;7
22,281.0,288.0,569.0,1536.0,927.0,653.0,265.0,0.0,0.723270417221702,0,3,3,0,73.0,8.0,28.0,0.0,4.0,21;22;18;12 | 21;22;18;12,7;7;7;7 | 7;7;7;7
23,212.0,195.0,407.0,1536.0,765.0,491.0,265.0,0.0,0.723270417221702,0,3,3,0,65.0,8.0,28.0,0.0,4.0,20;20;16;9 | 20;20;16;9,7;7;7;7 | 7;7;7;7
24,246.0,238.0,484.0,1536.0,842.0,568.0,265.0,0.0,0.6901408471514416,0,3,3,0,71.0,6.0,28.0,0.0,4.0,22;21;17;11 | 22;21;17;11,7;7;7;7 | 7;7;7;7
25,304.0,328.0,632.0,1536.0,990.0,716.0,265.0,0.0,0.7791718756786853,0,3,3,0,72.0,1.0,28.0,0.0,4.0,18;22;19;13 | 18;22;19;13,7;7;7;7 | 7;7;7;7
26,277.0,309.0,586.0,1536.0,944.0,670.0,265.0,0.0,0.8164754730647756,0,3,3,0,78.0,6.0,28.0,0.0,4.0,22;23;19;14 | 22;23;19;14,7;7;7;7 | 7;7;7;7
