sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
Badlands,36,0,29,1536,1528,5,1514,9,1360,1362,2,0,0,0,0,0,1.0759079129366096,3,54;46;46;42,7;4;4;3,1.401298464324817e-44;6.391287803649902;4.724621295928955;5.05795431137085;4.391287803649902;4.724621295928955;3.724621295928955;3.3912880420684814
Badlands,36,1,29,1536,1527,5,1513,9,1392,1420,28,0,0,0,0,0,1.0321969191233318,3,55;44;47;41,7;4;5;3,1.401298464324817e-44;6.7632575035095215;4.096590518951416;4.096590518951416;3;3.096590757369995;1.763257384300232;0.7632573246955872
Badlands,37,0,29,1536,1528,5,1514,9,1411,1411,0,0,0,0,0,0,1.3041473962650585,3,51;44;41;41,6;4;4;3,1.401298464324817e-44;6.954545497894287;3.2878787517547607;4.287878513336182;3;1.6212120056152344;1.6212120056152344;1.6212120056152344
Badlands,37,1,29,1536,1526,5,1512,9,1352,1373,21,0,0,0,0,0,1,3,51;50;41;39,6;6;3;3,1.401298464324817e-44;6.333333492279053;4;3;3;2.6666667461395264;1.6666666269302368;1.6666666269302368
Badlands,38,0,29,1536,1527,5,1513,9,1339,1402,63,0,0,0,0,1,2.1465785964532444,3,50;43;40;34,7;5;4;3,1.401298464324817e-44;6.248106479644775;5.914773464202881;3;3;1.248106598854065;0.5814399719238281;1.248106598854065
Badlands,38,1,29,1536,1527,5,1513,9,1349,1411,62,0,0,0,0,0,1,3,50;48;39;39,7;6;3;3,1.401298464324817e-44;6.6117424964904785;4.278409481048584;3.278409242630005;3;1.9450759887695312;1.2784093618392944;1.2784093618392944
Badlands,39,0,29,1536,1528,5,1478,45,1448,1363,-85,0,0,0,0,0,1,3,54;49;41;40,7;6;3;3,1.401298464324817e-44;6.630681991577148;5.964015483856201;3;3;2.297348737716675;1.9640153646469116;1.2973486185073853
Badlands,39,1,29,1536,1528,5,1478,45,1446,1381,-65,0,0,0,0,0,1,3,54;48;42;41,7;5;4;4,1.401298464324817e-44;7.337121486663818;5.670454502105713;3.670454740524292;3;2.670454740524292;2.3371212482452393;2.3371212482452393
Badlands,40,0,29,1536,1528,5,1514,9,1519,1418,-101,0,0,0,0,0,1.254703381370037,3,54;54;48;47,6;6;4;4,1.401298464324817e-44;7.284090518951416;5.284090518951416;3.9507572650909424;3.6174240112304688;2.6174240112304688;3.284090757369995;2.6174240112304688
Badlands,40,1,29,1536,1526,5,1512,9,1414,1414,0,0,0,0,0,0,1.1491525376716303,3,51;53;50;47,6;6;5;4,1.401298464324817e-44;6.2348480224609375;6.56818151473999;4.56818151473999;4.2348480224609375;2.2348480224609375;2.568181276321411;2.568181276321411
Badlands,41,0,29,1536,1528,5,1514,9,1343,1417,74,0,0,0,0,0,1.2699386532680237,3,54;50;45;40,7;6;4;3,1.401298464324817e-44;6;6.136363983154297;4.803030490875244;4.136363983154297;2.4696972370147705;2.4696972370147705;3.136363983154297
Badlands,41,1,29,1536,1526,5,1512,9,1313,1397,84,0,0,0,0,0,1.2410958788358708,3,54;48;43;40,7;5;3;3,1.401298464324817e-44;6.715909481048584;5.382575988769531;3.715909242630005;3;1.3825759887695312;1.3825759887695312;1.7159093618392944
Badlands,42,0,29,1536,1527,5,1513,9,1423,1415,-8,0,0,0,0,0,1,3,51;43;42;40,7;4;3;3,1.401298464324817e-44;6.59469747543335;4.59469747543335;3;3;1.2613639831542969;1.2613639831542969;1.2613639831542969
Badlands,42,1,29,1536,1527,5,1513,9,1367,1396,29,0,0,0,0,0,0.9703282515207926,3,50;50;41;38,6;6;3;3,1.401298464324817e-44;6.577651500701904;3.910984754562378;3.577651262283325;3;2.910984754562378;1.2443180084228516;0.57765132188797
Badlands,43,0,29,1536,1528,5,1514,9,1439,1373,-66,0,0,0,0,0,1.2133333587646484,3,49;45;41;37,6;5;4;3,1.401298464324817e-44;6.229166507720947;6.229166507720947;3.2291667461395264;3;1.8958333730697632;1.5625;1.8958333730697632
